2018-12-18 17:21:42 [restartedMain]  INFO o.s.b.w.e.tomcat.TomcatWebServer -Tomcat started on port(s): 8080 (http) with context path ''
2018-12-18 17:22:08 [http-nio-8080-exec-2]  INFO o.a.c.c.C.[Tomcat].[localhost].[/] -Initializing Spring FrameworkServlet 'dispatcherServlet'
2018-12-18 17:22:08 [http-nio-8080-exec-2]  INFO o.s.web.servlet.DispatcherServlet -FrameworkServlet 'dispatcherServlet': initialization started
2018-12-18 17:22:08 [http-nio-8080-exec-2]  INFO o.s.web.servlet.DispatcherServlet -FrameworkServlet 'dispatcherServlet': initialization completed in 43 ms
2018-12-18 17:25:31 [RMI TCP Connection(2)-127.0.0.1]  INFO o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin -Application shutdown requested.
2018-12-18 17:25:31 [RMI TCP Connection(2)-127.0.0.1]  INFO o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext -Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@1530b114: startup date [Tue Dec 18 17:21:33 CST 2018]; root of context hierarchy
2018-12-18 17:25:31 [RMI TCP Connection(2)-127.0.0.1]  INFO o.s.j.e.a.AnnotationMBeanExporter -Unregistering JMX-exposed beans on shutdown
2018-12-18 17:25:31 [RMI TCP Connection(2)-127.0.0.1]  INFO o.s.j.e.a.AnnotationMBeanExporter -Unregistering JMX-exposed beans
2018-12-18 17:25:31 [RMI TCP Connection(2)-127.0.0.1]  INFO o.s.o.j.LocalContainerEntityManagerFactoryBean -Closing JPA EntityManagerFactory for persistence unit 'default'
2018-12-18 17:25:31 [RMI TCP Connection(2)-127.0.0.1]  INFO com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Shutdown initiated...
2018-12-18 17:25:31 [RMI TCP Connection(2)-127.0.0.1]  INFO com.zaxxer.hikari.HikariDataSource -HikariPool-1 - Shutdown completed.
